AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:26:42,678  INFO ControllerTimeSkewHandler - Agent timestamp: 1714404402678; Controller timestamp: 1714404386169; Skew value=16509 msec; agentLagging=false
AP162APH06==> [extension-scheduler-pool-2] 29 Apr 2024 19:26:42,885  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 19:27:16,508  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60001 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:31:42,689  INFO ControllerTimeSkewHandler - Agent timestamp: 1714404702689; Controller timestamp: 1714404686174; Skew value=16515 msec; agentLagging=false
AP162APH06==> [extension-scheduler-pool-2] 29 Apr 2024 19:32:12,890  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 19:32:16,515  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60000 every 60000
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:36:42,710  INFO ControllerTimeSkewHandler - Agent timestamp: 1714405002709; Controller timestamp: 1714404986179; Skew value=16530 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 19:37:16,526  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60004 every 60000
AP162APH06==> [extension-scheduler-pool-6] 29 Apr 2024 19:37:42,902  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:41:42,723  INFO ControllerTimeSkewHandler - Agent timestamp: 1714405302723; Controller timestamp: 1714405286187; Skew value=16536 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 19:42:16,546  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59990 every 60000
AP162APH06==> [extension-scheduler-pool-0] 29 Apr 2024 19:43:12,888  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:46:42,734  INFO ControllerTimeSkewHandler - Agent timestamp: 1714405602734; Controller timestamp: 1714405586194; Skew value=16540 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 19:47:16,543  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59997 every 60000
AP162APH06==> [extension-scheduler-pool-11] 29 Apr 2024 19:48:42,908  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:51:42,758  INFO ControllerTimeSkewHandler - Agent timestamp: 1714405902758; Controller timestamp: 1714405886215; Skew value=16543 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 19:52:16,554  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59989 every 60000
AP162APH06==> [extension-scheduler-pool-7] 29 Apr 2024 19:53:42,916  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 19:56:42,794  INFO ControllerTimeSkewHandler - Agent timestamp: 1714406202794; Controller timestamp: 1714406186244; Skew value=16550 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 19:57:16,544  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 60006 every 60000
AP162APH06==> [extension-scheduler-pool-6] 29 Apr 2024 19:59:12,919  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 20:01:42,826  INFO ControllerTimeSkewHandler - Agent timestamp: 1714406502826; Controller timestamp: 1714406486282; Skew value=16544 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 20:02:16,560  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59984 every 60000
AP162APH06==> [extension-scheduler-pool-6] 29 Apr 2024 20:04:42,920  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 20:06:42,842  INFO ControllerTimeSkewHandler - Agent timestamp: 1714406802842; Controller timestamp: 1714406786311; Skew value=16531 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 20:07:16,557  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59974 every 60000
AP162APH06==> [extension-scheduler-pool-5] 29 Apr 2024 20:09:42,891  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 20:11:42,868  INFO ControllerTimeSkewHandler - Agent timestamp: 1714407102868; Controller timestamp: 1714407086357; Skew value=16511 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 20:12:16,532  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59979 every 60000
AP162APH06==> [extension-scheduler-pool-3] 29 Apr 2024 20:15:12,878  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 20:16:42,892  INFO ControllerTimeSkewHandler - Agent timestamp: 1714407402892; Controller timestamp: 1714407386386; Skew value=16506 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 20:17:16,516  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59990 every 60000
AP162APH06==> [extension-scheduler-pool-5] 29 Apr 2024 20:20:42,872  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 20:21:42,919  INFO ControllerTimeSkewHandler - Agent timestamp: 1714407702919; Controller timestamp: 1714407686415; Skew value=16504 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 20:22:16,513  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59991 every 60000
AP162APH06==> [extension-scheduler-pool-6] 29 Apr 2024 20:25:42,885  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
